date,time,currency,impact,event,actual,forecast,previous
Mar 1,1:15am,USD,orange,FOMC Member Mester Speaks,N/A,N/A,N/A
Mar 1,4:45am,NZD,yellow,Building Consents m/m,-8.8%,N/A,3.6%
Mar 1,6:30am,JPY,yellow,Unemployment Rate,2.4%,2.4%,2.4%
Mar 1,7:05am,NZD,orange,RBNZ Gov Orr Speaks,N/A,N/A,N/A
Mar 1,7:30am,JPY,yellow,Final Manufacturing PMI,47.2,47.2,47.2
Mar 1,8:10am,USD,yellow,FOMC Member Williams Speaks,N/A,N/A,N/A
Mar 1,8:30am,CNY,red,Manufacturing PMI,49.1,49.1,49.2
Mar 1,8:30am,CNY,orange,Non-Manufacturing PMI,51.4,50.9,50.7
Mar 1,8:45am,CNY,orange,Caixin Manufacturing PMI,50.9,50.7,50.8
Mar 1,12:00pm,JPY,yellow,Consumer Confidence,39.1,38.4,38.0
Mar 1,12:30pm,AUD,yellow,Commodity Prices y/y,-11.0%,N/A,-10.4%
Mar 1,2:00pm,GBP,yellow,Nationwide HPI m/m,0.7%,0.2%,0.7%
Mar 1,2:30pm,CHF,yellow,Retail Sales y/y,0.3%,0.4%,-0.1%
Mar 1,3:15pm,EUR,yellow,Spanish Manufacturing PMI,51.5,49.7,49.2
Mar 1,3:30pm,CHF,yellow,Manufacturing PMI,44.0,44.3,43.1
Mar 1,3:45pm,EUR,yellow,Italian Manufacturing PMI,48.7,49.0,48.5
Mar 1,3:50pm,EUR,yellow,French Final Manufacturing PMI,47.1,46.8,46.8
Mar 1,3:55pm,EUR,yellow,German Final Manufacturing PMI,42.5,42.3,42.3
Mar 1,4:00pm,EUR,yellow,Final Manufacturing PMI,46.5,46.1,46.1
Mar 1,4:00pm,EUR,yellow,Italian Monthly Unemployment Rate,7.2%,7.2%,7.2%
Mar 1,4:30pm,GBP,yellow,Final Manufacturing PMI,47.5,47.1,47.1
Mar 1,5:00pm,EUR,orange,Core CPI Flash Estimate y/y,3.1%,2.9%,3.3%
