date,time,currency,impact,event,actual,forecast,previous
Feb 1,2:00am,USD,red,Federal Funds Rate,5.50%,5.50%,5.50%
Feb 1,2:00am,USD,red,FOMC Statement,N/A,N/A,N/A
Feb 1,2:30am,USD,red,FOMC Press Conference,N/A,N/A,N/A
Feb 1,7:30am,AUD,yellow,Building Approvals m/m,-9.5%,0.5%,0.3%
Feb 1,7:30am,AUD,yellow,Import Prices q/q,1.1%,0.6%,0.8%
Feb 1,7:30am,AUD,yellow,NAB Quarterly Business Confidence,-6,N/A,-1
Feb 1,7:30am,JPY,yellow,Final Manufacturing PMI,48.0,48.0,48.0
Feb 1,8:45am,CNY,orange,Caixin Manufacturing PMI,50.8,50.8,50.8
Feb 1,10:35am,JPY,yellow,10-y Bond Auction,0.74|3.6,N/A,0.60|2.9
Feb 1,12:30pm,AUD,yellow,Commodity Prices y/y,-10.4%,N/A,-11.2%
Feb 1,3:00pm,EUR,orange,ECB President Lagarde Speaks,N/A,N/A,N/A
Feb 1,3:15pm,EUR,yellow,Spanish Manufacturing PMI,49.2,47.9,46.2
Feb 1,3:30pm,CHF,yellow,Manufacturing PMI,43.1,44.5,43.0
Feb 1,3:45pm,EUR,yellow,Italian Manufacturing PMI,48.5,47.0,45.3
Feb 1,3:50pm,EUR,yellow,French Final Manufacturing PMI,43.1,43.2,43.2
Feb 1,3:55pm,EUR,yellow,German Final Manufacturing PMI,45.5,45.4,45.4
Feb 1,4:00pm,EUR,yellow,Final Manufacturing PMI,46.6,46.6,46.6
Feb 1,4:30pm,GBP,yellow,Final Manufacturing PMI,47.0,47.3,47.3
Feb 1,4:45pm,EUR,yellow,Spanish 10-y Bond Auction,3.17|1.8,N/A,3.61|2.2
Feb 1,5:00pm,EUR,orange,Core CPI Flash Estimate y/y,3.3%,3.2%,3.4%
Feb 1,5:00pm,EUR,orange,CPI Flash Estimate y/y,2.8%,2.7%,2.9%
Feb 1,5:00pm,EUR,yellow,Italian Prelim CPI m/m,0.3%,0.5%,0.2%
Feb 1,5:00pm,EUR,yellow,Unemployment Rate,6.4%,6.4%,6.4%
Feb 1,5:01pm,EUR,yellow,French 10-y Bond Auction,2.70|1.9,N/A,2.59|1.8
Feb 1,7:00pm,GBP,red,BOE Monetary Policy Report,N/A,N/A,N/A
Feb 1,7:00pm,GBP,red,Monetary Policy Summary,N/A,N/A,N/A
Feb 1,7:00pm,GBP,red,MPC Official Bank Rate Votes,2-1-6,2-0-7,3-0-6
Feb 1,7:00pm,GBP,red,Official Bank Rate,5.25%,5.25%,5.25%
Feb 1,7:30pm,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Feb 1,7:30pm,USD,yellow,Challenger Job Cuts y/y,-20.0%,N/A,-20.2%
Feb 1,8:30pm,USD,red,Unemployment Claims,224K,213K,215K
Feb 1,8:30pm,USD,yellow,Prelim Nonfarm Productivity q/q,3.2%,2.4%,5.2%
Feb 1,8:30pm,USD,yellow,Prelim Unit Labor Costs q/q,0.5%,1.3%,-1.2%
Feb 1,9:30pm,CAD,yellow,Manufacturing PMI,48.3,N/A,45.4
Feb 1,9:45pm,USD,yellow,Final Manufacturing PMI,50.7,50.3,50.3
Feb 1,10:00pm,USD,red,ISM Manufacturing PMI,49.1,47.2,47.4
Feb 1,10:00pm,USD,orange,ISM Manufacturing Prices,52.9,46.0,45.2
Feb 1,10:00pm,USD,yellow,Construction Spending m/m,0.9%,0.5%,0.9%
Feb 1,All Day,USD,yellow,Wards Total Vehicle Sales,15.0M,15.7M,15.8M
Feb 1,10:30pm,USD,yellow,Natural Gas Storage,-197B,-202B,-326B
Feb 1,11:30pm,CAD,red,BOC Gov Macklem Speaks,N/A,N/A,N/A
Feb 2,4:45am,NZD,yellow,Building Consents m/m,3.7%,N/A,-10.6%
Feb 2,6:50am,JPY,yellow,Monetary Base y/y,4.8%,7.5%,7.8%
Feb 2,7:30am,AUD,yellow,PPI q/q,0.9%,1.9%,1.8%
Feb 2,2:45pm,EUR,yellow,French Gov Budget Balance,-173.3B,N/A,-198.0B
Feb 2,2:45pm,EUR,yellow,French Industrial Production m/m,1.1%,0.2%,0.5%
Feb 2,3:00pm,EUR,yellow,Spanish Unemployment Change,60.4K,-38.6K,-27.4K
Feb 2,7:15pm,GBP,yellow,MPC Member Pill Speaks,N/A,N/A,N/A
Feb 2,8:30pm,USD,red,Average Hourly Earnings m/m,0.6%,0.3%,0.4%
Feb 2,8:30pm,USD,red,Non-Farm Employment Change,353K,187K,333K
Feb 2,8:30pm,USD,red,Unemployment Rate,3.7%,3.8%,3.7%
Feb 2,10:00pm,USD,red,Revised UoM Consumer Sentiment,79.0,78.9,78.8
Feb 2,10:00pm,USD,yellow,Factory Orders m/m,0.2%,0.3%,2.6%
Feb 2,10:00pm,USD,yellow,Revised UoM Inflation Expectations,2.9%,N/A,2.9%
Feb 5,7:00am,AUD,yellow,MI Inflation Gauge m/m,0.3%,N/A,1.0%
Feb 5,7:00am,NZD,yellow,ANZ Commodity Prices m/m,2.2%,N/A,2.4%
